video,codec,qp,bitrate_kbps,psnr_y,enc_time
Coding_1080p_30fps,HEVC-Anchor,22,330.34,52.2886,380.16
Coding_1080p_30fps,HEVC-Anchor,27,203.42,48.3273,372.1
Coding_1080p_30fps,HEVC-Anchor,32,137.8,44.6619,368.49
Coding_1080p_30fps,HEVC-Anchor,37,99.31,40.4099,368.42
Coding_1080p_30fps,HEVC-SCC,22,286.49,52.1995,405.6
Coding_1080p_30fps,HEVC-SCC,27,154.03,48.3902,390.9
Coding_1080p_30fps,HEVC-SCC,32,91.81,45.3653,384.73
Coding_1080p_30fps,HEVC-SCC,37,61.85,42.0968,382.69
Coding_1080p_30fps,VVC-Anchor,22,310.66,53.2297,506.73
Coding_1080p_30fps,VVC-Anchor,27,177.96,49.2639,369.41
Coding_1080p_30fps,VVC-Anchor,32,111.7,46.1535,272.9
Coding_1080p_30fps,VVC-Anchor,37,79.68,42.5329,240.34
Coding_1080p_30fps,VVC-SCC,22,296.23,53.3028,579.34
Coding_1080p_30fps,VVC-SCC,27,170.87,49.3461,433.07
Coding_1080p_30fps,VVC-SCC,32,103.68,46.0978,330.18
Coding_1080p_30fps,VVC-SCC,37,70.81,42.484,290.45
Web_1080p_30fps,HEVC-Anchor,22,1820.52,46.593,556.6
Web_1080p_30fps,HEVC-Anchor,27,721.15,42.2652,459.14
Web_1080p_30fps,HEVC-Anchor,32,441.59,39.0952,427.68
Web_1080p_30fps,HEVC-Anchor,37,317.62,35.2309,421.76
Web_1080p_30fps,HEVC-SCC,22,1635.07,46.5473,714.03
Web_1080p_30fps,HEVC-SCC,27,532.79,42.1803,534.51
Web_1080p_30fps,HEVC-SCC,32,232.39,39.4578,470.19
Web_1080p_30fps,HEVC-SCC,37,183.61,35.7098,470.66
Web_1080p_30fps,VVC-Anchor,22,1577.94,46.9288,2853.3
Web_1080p_30fps,VVC-Anchor,27,669.2,42.6291,1505.68
Web_1080p_30fps,VVC-Anchor,32,393.75,39.209,1033.31
Web_1080p_30fps,VVC-Anchor,37,261.77,35.686,827.49
Web_1080p_30fps,VVC-SCC,22,1493.57,46.9644,3294.28
Web_1080p_30fps,VVC-SCC,27,594.28,42.6927,1678.45
Web_1080p_30fps,VVC-SCC,32,319.23,39.1673,1149.98
Web_1080p_30fps,VVC-SCC,37,200.01,35.5843,932.94
